,SE,S,NE,N
2025-10-04 07:00:00,0.0,0.0,0.0,0.0
2025-10-04 08:00:00,0.0018230858715603472,0.0,0.0,0.0
2025-10-04 09:00:00,0.04988162839743745,0.05383053765857863,0.03621818564117403,0.04551925551136349
2025-10-04 10:00:00,0.1795314085437083,0.2946860773397308,0.34844335422943773,0.2541773041990829
2025-10-04 11:00:00,0.1389068053430652,0.5785679152548172,0.7787056247827286,0.4573861588388768
2025-10-04 12:00:00,0.13102727411843598,0.793340064687634,0.9458693057441406,0.6359259886256304
2025-10-04 13:00:00,0.3569148185621786,0.905428646206672,0.9724944503507752,0.751506075003359
2025-10-04 14:00:00,0.35299294573454226,0.9331221696956228,0.8349204031506253,0.804329648951969
2025-10-04 15:00:00,0.21762883938585617,0.9271734933444038,0.9157752683218676,0.8272563707046052
2025-10-04 16:00:00,0.47106706563988265,0.9117041507655761,0.43331365476179406,0.8187914643775667
2025-10-04 17:00:00,0.5224350461106929,0.8349941646682638,0.7885752286430646,0.7359663512754779
2025-10-04 18:00:00,0.11311652185696541,0.4870229582419293,0.2391945259633382,0.5438156843083155
2025-10-04 19:00:00,0.04660135810689634,0.372270887929119,0.18790717245624317,0.3151726961203743
2025-10-04 20:00:00,0.0017078561288263216,0.11368500782750936,0.06528322913156757,0.11762507903049053
2025-10-04 21:00:00,0.0,0.004068317041807715,0.0029732966355005917,0.00271470422861952
2025-10-04 22:00:00,0.0,0.0,0.0,0.0
2025-10-04 23:00:00,0.0,0.0,0.0,0.0
2025-10-05 00:00:00,0.0,0.0,0.0,0.0
2025-10-05 01:00:00,0.0,0.0,0.0,0.0
2025-10-05 02:00:00,0.0,0.0,0.0,0.0
2025-10-05 03:00:00,0.0,0.0,0.0,0.0
2025-10-05 04:00:00,0.0,0.0,0.0,0.0
2025-10-05 05:00:00,0.0,0.0,0.0,0.0
2025-10-05 06:00:00,0.0,0.0,0.0,0.0
2025-10-05 07:00:00,0.0,0.0,0.0,0.0
2025-10-05 08:00:00,0.003073033204761858,0.0001672551123037692,0.00013540987679885598,5.483530036354509e-05
2025-10-05 09:00:00,0.10027538163241864,0.13788897782090173,0.059519451332783455,0.11150137546349631
2025-10-05 10:00:00,0.23220627653003428,0.7001494287301824,0.3867844693250698,0.5256348132508344
2025-10-05 11:00:00,0.4325600115782555,0.95932931545305,0.7936126844299479,0.708713904121221
2025-10-05 12:00:00,0.7435195548588207,0.9678740692458025,0.9293168574548933,0.7885904156251414
